"geneid","N","median","sd","se","ci","GE_logFC","GE_logCPM","common_name","peak_density_TSS","peak_density_Introns","peak_density_Intron1","peak_density_Exons","gene_len","exon_len","intron_len","TSS_dens_norm","intron_dens_norm","exon_dens_norm"
"SPU_000003",26,1.15094819421743,3.20602796839235,0.628753814306031,1.29494272075396,0.242379138938781,6.49860127571218,"SP-HYPP_1239",210.666666666667,783.666666666667,0,325.666666666667,5900,4044,1856,210.666666666667,0.422234195402299,0.0805308275634685
"SPU_000018",11,55.769102560989,16.7517871958803,5.05085388151044,11.2540037690991,-0.166712360352002,0.455793854283251,"SP-CSPL",61.6666666666667,0,0,66,572,572,0,61.6666666666667,0,0.115384615384615
"SPU_000019",7,10.4208862616604,12.1767522571548,4.60237974983942,11.2616175533517,-0.50002979655994,0.80175001503763,"SP-CSPL_1",25.6666666666667,0,0,0,1139,1139,0,25.6666666666667,0,0
"SPU_000048",11,99.7192513368984,0.75690176582427,0.228214469126959,0.5084935252472,0.0770706897850324,8.17058016334979,"SP-SLC31A1",56.3333333333333,97,19.3333333333333,54.3333333333333,7061,2697,4364,56.3333333333333,0.0222273143904675,0.0201458410579656
"SPU_000061",9,1.41082501950756,2.55740635045761,0.852468783485869,1.96579653985088,-0.326673227697713,7.77077235046716,"SP-BTUB2",42.6666666666667,81.6666666666667,8.66666666666667,48.6666666666667,8903,1830,7073,42.6666666666667,0.0115462557142184,0.0265938069216758
"SPU_000070",11,0.447982385569716,1.48578948562307,0.447982385569716,0.99816695829338,0.458597382345679,1.56179889902642,"SP-MUCL",7,402.333333333333,112.333333333333,288.333333333333,19589,3132,16457,7,0.0244475501812805,0.0920604512558535
"SPU_000071",6,88.214613744703,28.1221575925389,11.4808227613093,29.5123944483817,0.453679177740657,0.629429538370236,"SP-APBB1L",92.6666666666667,598,4.66666666666667,177.666666666667,10145,1134,9011,92.6666666666667,0.0663633337032516,0.156672545561434
"SPU_000114",26,56.1928483936517,8.79916592782201,1.72565841420405,3.55406003293635,0.296321540619002,7.00050737379325,"SP-FUT6",11.3333333333333,0,0,0,4587,4587,0,11.3333333333333,0,0
"SPU_000166",12,0.178268251273345,0.476455692218498,0.13754091107964,0.30272550419177,0.200243499242792,4.67493707557717,"SP-SLC35F3L",38.3333333333333,61.3333333333333,17.3333333333333,63.6666666666667,13258,2347,10911,38.3333333333333,0.00562123850548376,0.0271268285754864
"SPU_000208",25,97.615682972948,6.3692291639457,1.27384583278914,2.62908858202936,0.0577223763007823,3.04387497100984,NA,0,0,0,0,0,0,0,0,0,0
