"geneid","int_meth_logFC","int_meth_logCPM","LR","PValue","GE_logFC","GE_logCPM"
"SPU_000013",1.3038457001984,4.77961022256207,5.127636650542,0.0235477697625766,0.0258679705372168,7.81300736017685
"SPU_000017",-0.118957091371971,7.35928999915533,0.185834803988092,0.666406122687694,0.682346157148733,2.77154021754787
"SPU_000022",-0.093724426436375,1.00801406587548,0.00229330369473146,0.961805143968346,0.18043472312354,8.30738935317516
"SPU_000023",1.37398586061982,3.1351710634029,1.60759061612853,0.20483081818033,0.191919303777152,6.10439056031139
"SPU_000025",-0.339260902239636,4.5133853564927,0.348268824104811,0.555094746421667,-0.000438495787043023,2.40966401974996
"SPU_000043",-0.639497907928906,5.02751091842459,1.43383054255403,0.231140307844901,-0.398717949756309,3.33279201248254
"SPU_000047",0.00429809443014667,7.0788062057132,0.000191195992856663,0.988967711371092,-0.242356634729347,1.70365511073288
"SPU_000048",-2.305624416026,3.09604658844581,6.3727058161398,0.0115888759687009,0.0770706897850324,8.17058016334979
"SPU_000049",0.275131932204001,4.45044435651542,0.204603674251495,0.651030275355769,0.206790658869213,4.18757492838998
"SPU_000059",0.32855707826496,3.06697943447946,0.140787679298436,0.707499204836957,-0.409120740207612,0.885842495068503
"SPU_000061",1.08508566618885,3.9827159941151,1.75908568726562,0.184738599704656,-0.326673227697713,7.77077235046716
"SPU_000067",-0.889122982412452,1.43578507707632,0.579179245038764,0.446634210598757,-0.422653255986358,2.63448678235967
"SPU_000068",-0.3706107175742,7.5787000560326,2.26757756843224,0.132106251779596,0.320425627054778,5.08049565539119
"SPU_000069",0.726961994029815,7.66460644118744,7.80710882052454,0.00520410986414993,-0.471590315673447,3.45444637164912
"SPU_000070",0.134613701658239,7.87205237782698,0.32616983012277,0.567923182614657,0.458597382345679,1.56179889902642
"SPU_000074",-0.592706634916992,2.21824607217054,0.367041943876199,0.544621093780054,0.0163780919069618,4.79198135267653
"SPU_000075",-0.0865760654390764,5.21376171037608,0.0329574484592428,0.855942276148301,0.217239498681435,7.21564832447634
"SPU_000076",-0.472017879424486,4.98782888596763,0.733727673522828,0.391677566490651,0.497974777548785,5.4439051266323
