"geneid","int_meth_logFC","int_meth_logCPM","LR","PValue","GE_logFC","GE_logCPM","common_name","peak_density_TSS","peak_density_Introns","peak_density_Intron1","peak_density_Exons","gene_len","exon_len","intron_len","TSS_dens_norm","intron_dens_norm","exon_dens_norm"
"SPU_000013",1.3038457001984,4.77961022256207,5.127636650542,0.0235477697625766,0.0258679705372168,7.81300736017685,"SP-DNAH1_1",66,121,0,190,30639,7228,23411,0.066,0.00516851052923839,0.0262866629773105
"SPU_000017",-0.118957091371971,7.35928999915533,0.185834803988092,0.666406122687694,0.682346157148733,2.77154021754787,"SP-Z307",75,203.666666666667,27,40.3333333333333,9193,1643,7550,0.075,0.0269757174392936,0.0245485899776831
"SPU_000022",-0.093724426436375,1.00801406587548,0.00229330369473146,0.961805143968346,0.18043472312354,8.30738935317516,"SP-ATP5F1",11,186,5.66666666666667,116.333333333333,9776,1185,8591,0.011,0.0216505645442905,0.0981715893108298
"SPU_000023",1.37398586061982,3.1351710634029,1.60759061612853,0.20483081818033,0.191919303777152,6.10439056031139,"SP-MICAL3L",3.33333333333333,612.333333333333,75.6666666666667,528.333333333333,17493,3062,14431,0.00333333333333333,0.0424318019079297,0.172545177443936
"SPU_000025",-0.339260902239636,4.5133853564927,0.348268824104811,0.555094746421667,-0.000438495787043023,2.40966401974996,"SP-CLCN1",21,28.3333333333333,0,42.6666666666667,3742,748,2994,0.021,0.00946337118681808,0.0570409982174688
"SPU_000043",-0.639497907928906,5.02751091842459,1.43383054255403,0.231140307844901,-0.398717949756309,3.33279201248254,"SP-LRP6L",22,0,0,0,3500,894,2606,0.022,0,0
"SPU_000047",0.00429809443014667,7.0788062057132,0.000191195992856663,0.988967711371092,-0.242356634729347,1.70365511073288,"SP-EGFL",62.3333333333333,1249.66666666667,1249.66666666667,0,46710,1136,45574,0.0623333333333333,0.0274206053158965,0
"SPU_000048",-2.305624416026,3.09604658844581,6.3727058161398,0.0115888759687009,0.0770706897850324,8.17058016334979,"SP-SLC31A1",56.3333333333333,97,19.3333333333333,54.3333333333333,7061,2697,4364,0.0563333333333333,0.0222273143904675,0.0201458410579656
"SPU_000049",0.275131932204001,4.45044435651542,0.204603674251495,0.651030275355769,0.206790658869213,4.18757492838998,"SP-TRYPL",33.6666666666667,603.666666666667,150.333333333333,151.666666666667,15493,2620,12873,0.0336666666666667,0.0468940158989099,0.0578880407124682
"SPU_000059",0.32855707826496,3.06697943447946,0.140787679298436,0.707499204836957,-0.409120740207612,0.885842495068503,"SP-DDX55L",15,0,0,0,1433,237,1196,0.015,0,0
"SPU_000061",1.08508566618885,3.9827159941151,1.75908568726562,0.184738599704656,-0.326673227697713,7.77077235046716,"SP-BTUB2",42.6666666666667,81.6666666666667,8.66666666666667,48.6666666666667,8903,1830,7073,0.0426666666666667,0.0115462557142184,0.0265938069216758
"SPU_000067",-0.889122982412452,1.43578507707632,0.579179245038764,0.446634210598757,-0.422653255986358,2.63448678235967,"SP-CRJ1L",17.3333333333333,18,0,50,3495,642,2853,0.0173333333333333,0.00630914826498423,0.0778816199376947
