"","geneid","logFC","logCPM","LR","PValue","logFC.x","logCPM.x","LR.x","PValue.x","logFC.y","logCPM.y","LR.y","PValue.y","ex_bh_pval","int_bh_pval","BH_threshold","logCPM_Z","logFC_Z","exon_DM_logFC_Z","intron_DM_logFC_Z","common_name","peak_density_TSS","peak_density_Introns","peak_density_Intron1","peak_density_Exons","gene_len","exon_len","intron_len","intron_dens_norm","exon_dens_norm","peak_density_TSS_Z","intron_dens_norm_Z","exon_dens_norm_Z","gene_body_access_Z","gene_len_Z","intron_len_Z","exon_len_Z"
"1","SPU_000048",0.0763894506988484,8.17104565077678,0.648556559600524,0.42062922031782,1.38280626812444,7.08014052741188,6.47881380716074,0.0109167813995424,-2.305624416026,3.09604658844581,6.3727058161398,0.0115888759687009,0.241133700799754,0.261257993329485,"B",1.62035006262226,0.231860011458961,1.31295456145915,-2.44577747268135,"SP-SLC31A1",56.3333333333333,97,19.3333333333333,54.3333333333333,7061,2697,4364,0.0222273143904675,0.0201458410579656,0.15266334166262,-0.0289520405326664,-0.537964930703776,-0.31493685933178,-0.476870026911617,-0.499222936910526,0.0781116367207563
"2","SPU_000061",-0.338716101681379,7.76250968819,12.5725898491392,0.000391445738220432,-0.632556085662094,7.4375987318918,1.64877573283007,0.199125642327763,1.08508566618885,3.9827159941151,1.75908568726562,0.184738599704656,0.770712199973422,0.68808434962459,"B",1.45219129473747,-1.01514980428044,-0.666808940299282,1.12874446698966,"SP-BTUB2",42.6666666666667,81.6666666666667,8.66666666666667,48.6666666666667,8903,1830,7073,0.0115462557142184,0.0265938069216758,-0.125153250354758,-0.0303950324743816,-0.437149029937448,-0.443264595750768,-0.420384294603214,-0.413337431830821,-0.267849609959365
"3","SPU_000069",-0.45784075307812,3.44338949548592,11.9315514547298,0.000551911956904162,-2.4332136348236,4.34736307717657,4.19452845194819,0.0405546304172939,0.726961994029815,7.66460644118744,7.80710882052454,0.00520410986414993,0.427744299108726,0.171265335066708,"B",-0.325615303615916,-1.37300965158068,-2.43566012891949,0.751206755947199,"SP-GLYT1L",55.6666666666667,210,2,182.666666666667,11889,1241,10648,0.0197220135236664,0.147193123824872,0.139111312783723,-0.0292905022031752,1.4484578455313,-0.0958859048157971,-0.328817304009897,-0.299996464440661,-0.502879799457164
"4","SPU_000070",0.461793857972645,1.56894527132245,5.21412289640367,0.02240414555996,-1.03535845842682,7.48302124835564,4.00762172955743,0.0452950008433204,0.134613701658239,7.87205237782698,0.32616983012277,0.567923182614657,0.446009777728965,0.942294805667899,"B",-1.09716116510696,1.38964524498296,-1.06249631360117,0.126747006906734,"SP-MUCL",7,402.333333333333,112.333333333333,288.333333333333,19589,3132,16457,0.0244475501812805,0.0920604512558535,-0.850186795375721,-0.0286520906445551,0.586441798271635,-0.0537558049330525,-0.0926934501691264,-0.115829281344313,0.251690808930506
"5","SPU_000098",0.00777376039910127,6.54791450242106,0.00627130413254529,0.936880252847042,-0.218828340847785,5.46131010600681,0.0729211929644968,0.78713006283896,0.995063918130667,4.87089405299499,3.4855749603321,0.0619058529580402,0.975862587697482,0.48908705401889,"B",0.952247963862859,0.025733066572557,-0.260389177962612,1.03384260110342,"SP-CLASP2",48.6666666666667,1150.33333333333,1150.33333333333,374.666666666667,36090,3133,32957,0.0349040669154757,0.119587190126609,-0.00318499044469006,-0.0272394339179887,1.01683070433478,0.0784364715195338,0.413316902068089,0.407282875841042,0.252089841510298
"6","SPU_000146",-0.0152205418530727,5.57705542476226,0.0218573585004531,0.882467191309723,0.499894688642673,3.48946644253645,0.238921303257435,0.624986294128612,2.13848716714646,2.75761226650235,3.29908764152573,0.0693183744517771,0.973109808292878,0.511854428344149,"B",0.552629616300158,-0.0433436307882017,0.445638509309138,2.23925131810793,"SP-KPNB1",130.333333333333,867,176.333333333333,578,21399,2548,18851,0.0459922550527823,0.226844583987441,1.65693854722013,-0.0257414395135637,2.69383256887423,0.55583475953244,-0.0371890117987634,-0.0399304629017836,0.0186557823316697
"7","SPU_000166",0.214429241891245,4.6858730389996,3.77994603076767,0.0518703336723729,0.0950915205335596,7.72305867330117,0.040109890550454,0.841265874901147,-3.23729970409641,2.22169110838426,5.80299715608908,0.0159988803724293,0.975862587697482,0.29795016345756,"B",0.185807241590263,0.646542430406376,0.0479856822069157,-3.42795928035792,"SP-SLC35F3L",38.3333333333333,61.3333333333333,17.3333333333333,63.6666666666667,13258,2347,10911,0.00562123850548376,0.0271268285754864,-0.213241438067586,-0.0311954917121667,-0.428815074812264,-0.541706020462466,-0.286836322723142,-0.291658373692797,-0.0615497662066283
"8","SPU_000176",-0.468809454178947,6.1932572751921,21.9868466778672,2.74525411627104e-06,1.21568121205495,5.54758454812906,2.39479729333812,0.121739529248943,-0.124377426628746,5.52687966503264,0.0797585664568503,0.777624860913355,0.631046782364495,0.969859053640692,"B",0.806266391091064,-1.40596049471012,1.14878156020503,-0.14628414226107,"SP-REELER/EGF/FOLN",93,386.333333333333,196.333333333333,183,24448,3430,21018,0.0183810701938021,0.0533527696793003,0.898024930001926,-0.0294716612509758,-0.0187645361289967,-0.279889282505505,0.056309901235069,0.0287716004085598,0.370602517708679
"9","SPU_000195",-0.0327883645387655,4.84286896559611,0.0911421849318614,0.762730095015043,-1.33870507137634,4.57061041469326,2.39109825728178,0.122027872744535,0.164544532735499,4.27332659185566,0.0519280247764566,0.819741697110223,0.631046782364495,0.972397611235519,"B",0.25042882695141,-0.0961187555838384,-1.36048468853094,0.158300401258978,"SP-DYSF",65.3333333333333,268.666666666667,0,133.666666666667,18866,2204,16662,0.016124514864162,0.0606473079249849,0.335615731527722,-0.0297765178438851,0.0952877804398709,-0.316947605149701,-0.114864560081708,-0.109330009088374,-0.11861142511696
"10","SPU_000208",0.0702095845064242,3.05089263536873,0.251369008198171,0.616112762125795,0.0440393231385302,8.11677157358329,0.0126135935083549,0.910577410475644,-0.24812943807836,6.54196623220695,0.606514861618445,0.436103052053144,0.9811438944471,0.878803316431557,"B",-0.48717216626772,0.213295206055322,-0.00216474205666633,-0.276744803679846,NA,0,0,0,0,0,0,0,0,0,-0.992483098604134,-0.0319549109899495,-0.85295126218932,NA,-0.69339866742716,-0.637578176544277,-0.99807923097969
