"geneid","N","median","sd","se","ci","mRNA_var","splice","common_name","peak_density_TSS","peak_density_Introns","peak_density_Intron1","peak_density_Exons","gene_len","exon_len","intron_len","TSS_dens_norm","intron_dens_norm","exon_dens_norm"
"SPU_000028",12,0,0,0,0,1,FALSE,"SP-ST1B2L",126.333333333333,350.333333333333,0,100,6446,852,5594,0.126333333333333,0.0626266237635562,0.117370892018779
"SPU_000049",24,2.72006040007971,6.17111693725988,1.25967396994447,2.6058341445724,1,FALSE,"SP-TRYPL",33.6666666666667,603.666666666667,150.333333333333,151.666666666667,15493,2620,12873,0.0336666666666667,0.0468940158989099,0.0578880407124682
"SPU_000053",26,3.6150146811969,8.0022581175541,1.56937193439287,3.23218200249113,1,FALSE,"SP-EGF/HYALINL5",99.3333333333333,1304.66666666667,36.6666666666667,1392.33333333333,61794,16271,45523,0.0993333333333333,0.0286595054514568,0.0855714666174994
"SPU_000064",8,1.57737744751676,2.96853531668729,1.04953572631067,2.48175763134725,1,FALSE,"SP-MUS_ACHLRM3",31.3333333333333,118,18.3333333333333,49.3333333333333,4020,1060,2960,0.0313333333333333,0.0398648648648649,0.0465408805031447
"SPU_000070",8,0,0,0,0,1,FALSE,"SP-MUCL",7,402.333333333333,112.333333333333,288.333333333333,19589,3132,16457,0.007,0.0244475501812805,0.0920604512558535
"SPU_000076",10,2.06787031923524,4.37976143688224,1.38500217487197,3.13309259037771,1,FALSE,"SP-GAT_2",31.3333333333333,397.666666666667,0,140,15518,3592,11926,0.0313333333333333,0.0333445133881156,0.0389755011135857
"SPU_000094",17,12.0160087704707,33.1274322050435,8.03458247569898,17.0325539672645,1,FALSE,"SP-HYPP_293",140.666666666667,627,627,0,100236,2189,98047,0.140666666666667,0.0063948922455557,0
"SPU_000105",6,100,0,0,0,2,TRUE,"SP-MAPKKK12/13",106.666666666667,132.666666666667,0,402.333333333333,9324,3179,6145,0.106666666666667,0.0215893680499051,0.126559714795009
"SPU_000174",5,0,0,0,0,1,FALSE,"SP-SLC30A3_1",108.333333333333,316,0,88.3333333333333,12553,3990,8563,0.108333333333333,0.0369029545719958,0.0221386800334169
"SPU_000176",5,1.81514533401326,4.05878835589521,1.81514533401326,5.03965137784372,1,FALSE,"SP-REELER/EGF/FOLN",93,386.333333333333,196.333333333333,183,24448,3430,21018,0.093,0.0183810701938021,0.0533527696793003
"SPU_000177",10,0.798319327731092,2.52450737576467,0.798319327731092,1.80592378542714,3,TRUE,"SP-PCSK9L",86.6666666666667,1361.33333333333,0,245,17094,1677,15417,0.0866666666666667,0.0883007934963568,0.146094215861658
"SPU_000178",36,95.0026234082889,18.2022231346467,3.03370385577445,6.15874624957135,1,FALSE,"SP-PP2AB56E",99,2345,635,166,46828,4005,42823,0.099,0.0547602923662518,0.0414481897627965
"SPU_000308",22,0.69560945544006,1.78608029226609,0.380793597779768,0.791903637926468,1,FALSE,"SP-RHOGAP24L2",33.3333333333333,982,477.333333333333,246.666666666667,27456,2353,25103,0.0333333333333333,0.0391188304186751,0.104830712565519
"SPU_000330",50,2.1538868925796,3.59473798738269,0.508372721493436,1.02161323234521,1,FALSE,"SP-HGFL",84.6666666666667,368.666666666667,120.666666666667,391.333333333333,17443,3470,13973,0.0846666666666667,0.0263842171807534,0.112776176753122
"SPU_000393",9,0.0713185501143831,0.213955650343149,0.0713185501143831,0.164460871480533,1,FALSE,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000409",5,1.01190476190476,2.26268783437479,1.01190476190476,2.80949802311682,1,FALSE,"SP-IL1R/RS1(D)",47.3333333333333,11,0,17.3333333333333,5773,1949,3824,0.0473333333333333,0.0028765690376569,0.00889344963229006
"SPU_000419",36,1.6207682652161,3.69812635482716,0.616354392471194,1.25126593876769,1,FALSE,"SP-LMLM-2",43,386.333333333333,73.3333333333333,98,14058,1617,12441,0.043,0.0310532379497897,0.0606060606060606
"SPU_000426",23,1.27398837870368,2.54538000482427,0.530748420258526,1.10070485460676,1,FALSE,"SP-ARSJ",128.666666666667,1121,743,261,25309,1760,23549,0.128666666666667,0.047602870610217,0.148295454545455
"SPU_000436",12,0.889690982776092,3.08197997040816,0.889690982776092,1.95819665015752,1,FALSE,"SP-CYP3L2",43.3333333333333,511,0,392,14941,1434,13507,0.0433333333333333,0.0378322351373362,0.273361227336123
"SPU_000442",9,0.466200466200467,1.3986013986014,0.466200466200467,1.07506020289239,2,TRUE,"SP-MLCKB",117.666666666667,656.333333333333,0,159.333333333333,12219,2530,9689,0.117666666666667,0.0677400488526508,0.0629776021080369
"SPU_000468",5,85.9579152731327,19.6265368297897,8.77725410286261,24.3695641909701,1,FALSE,"SP-PLK2",37,586.333333333333,9,187.333333333333,25524,1884,23640,0.037,0.0248025944726452,0.0994338287331918
"SPU_000471",11,2.71327276421415,4.16029314772429,1.25437558080801,2.79492296658117,1,FALSE,"SP-RDH10_1",60.6666666666667,31,0,17,4376,1175,3201,0.0606666666666667,0.00968447360199937,0.014468085106383
"SPU_000482",5,44.9914296568106,1.39869927493222,0.625517331765624,1.73671453399705,1,FALSE,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000484",12,0.40638464551508,0.949110052370834,0.27398447211344,0.603035757217224,1,FALSE,"SP-CYTB561",22.3333333333333,128.333333333333,86.6666666666667,67,7870,1304,6566,0.0223333333333333,0.01954513148543,0.0513803680981595
"SPU_000491",5,0,0,0,0,1,FALSE,"SP-PPAP2CL",46.6666666666667,66,0,73.3333333333333,6284,1014,5270,0.0466666666666667,0.0125237191650854,0.0723208415516108
"SPU_000513",18,2.76702656898085,4.82286554007888,1.13676030938023,2.39835460899304,1,FALSE,"SP-DO1(UDX1)",149,1358,0,833.666666666667,32767,6779,25988,0.149,0.0522548868708635,0.122977823671141
"SPU_000518",10,1.00108225108225,2.30672283021839,0.729449807419999,1.65013010675692,1,FALSE,"SP-BCHE-2",97.6666666666667,63.3333333333333,0,43.6666666666667,8542,1860,6682,0.0976666666666667,0.00947820013967874,0.0234767025089606
"SPU_000529",8,2.25997756586397,3.23591245443548,1.14406781992867,2.70529051247021,1,FALSE,"SP-HYPP_305",32.6666666666667,143.666666666667,0.333333333333333,190,8512,1870,6642,0.0326666666666667,0.021630031115126,0.101604278074866
"SPU_000542",7,1.51649866283595,2.43162642835991,0.919068401550361,2.24887936376644,1,FALSE,"SP-CLECT/PAN_7",15.3333333333333,634.666666666667,169,81.3333333333333,18492,983,17509,0.0153333333333333,0.0362480248253279,0.0827399118345202
"SPU_000645",37,0.663180528514489,1.94422448257275,0.319628536029242,0.648236716463069,1,FALSE,"SP-CYP27L_1",165.333333333333,960.333333333333,960.333333333333,0,40039,1545,38494,0.165333333333333,0.0249476108830813,0
"SPU_000662",8,0.984146883206128,1.62721952457965,0.575308980154709,1.36038956663294,1,FALSE,"SP-HYPP_1271",109.333333333333,127.333333333333,127.333333333333,20.3333333333333,9288,919,8369,0.109333333333333,0.0152148803122635,0.0221254987305042
"SPU_000667",6,95.0622181641444,3.16040730381382,1.2902308789515,3.3166440612098,1,FALSE,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000676",8,0,0,0,0,1,FALSE,"SP-LIPF_2",16,111.666666666667,0,49.6666666666667,9403,1239,8164,0.016,0.0136779356524579,0.0400860909335486
"SPU_000721",15,0.390573899557103,1.11353922291622,0.287514591046886,0.616657467459492,1,FALSE,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000730",9,0.416666666666667,1.25,0.416666666666667,0.960835056335069,1,FALSE,"SP-GPR64L_2",92.6666666666667,1216.33333333333,112.666666666667,140,30051,1952,28099,0.0926666666666667,0.0432874242262477,0.0717213114754098
"SPU_000742",5,89.3602693602694,23.791160972725,10.6397306397306,29.5406280553031,1,FALSE,"SP-UBE2V1/2",22.3333333333333,289,0,50,9000,675,8325,0.0223333333333333,0.0347147147147147,0.0740740740740741
"SPU_000750",9,26.5634066172932,10.3474027179271,3.44913423930903,7.95371781872089,1,FALSE,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000792",8,0.951086956521739,2.69008014581839,0.951086956521739,2.24896328276488,1,FALSE,"SP-RXFP1L",27.6666666666667,785.666666666667,0,412.666666666667,12662,1930,10732,0.0276666666666667,0.0732078519070692,0.213816925734024
