"geneid","int_meth_logFC","int_meth_logCPM","ex_meth_logFC","ex_meth_logCPM","GE_logFC","GE_logCPM","common_name","peak_density_TSS","peak_density_Introns","peak_density_Intron1","peak_density_Exons","gene_len","exon_len","intron_len","TSS_dens_norm","intron_dens_norm","exon_dens_norm"
"SPU_000048",-2.305624416026,3.09604658844581,1.38280626812444,7.08014052741188,0.0770706897850324,8.17058016334979,"SP-SLC31A1",56.3333333333333,97,19.3333333333333,54.3333333333333,7061,2697,4364,56.3333333333333,0.0222273143904675,0.0201458410579656
"SPU_000061",1.08508566618885,3.9827159941151,-0.632556085662094,7.4375987318918,-0.326673227697713,7.77077235046716,"SP-BTUB2",42.6666666666667,81.6666666666667,8.66666666666667,48.6666666666667,8903,1830,7073,42.6666666666667,0.0115462557142184,0.0265938069216758
"SPU_000069",0.726961994029815,7.66460644118744,-2.4332136348236,4.34736307717657,-0.471590315673447,3.45444637164912,"SP-GLYT1L",55.6666666666667,210,2,182.666666666667,11889,1241,10648,55.6666666666667,0.0197220135236664,0.147193123824872
"SPU_000070",0.134613701658239,7.87205237782698,-1.03535845842682,7.48302124835564,0.458597382345679,1.56179889902642,"SP-MUCL",7,402.333333333333,112.333333333333,288.333333333333,19589,3132,16457,7,0.0244475501812805,0.0920604512558535
"SPU_000098",0.995063918130667,4.87089405299499,-0.218828340847785,5.46131010600681,0.00792702147158908,6.54763761037104,"SP-CLASP2",48.6666666666667,1150.33333333333,1150.33333333333,374.666666666667,36090,3133,32957,48.6666666666667,0.0349040669154757,0.119587190126609
"SPU_000146",2.13848716714646,2.75761226650235,0.499894688642673,3.48946644253645,0.000925563704497647,5.56173747538862,"SP-KPNB1",130.333333333333,867,176.333333333333,578,21399,2548,18851,130.333333333333,0.0459922550527823,0.226844583987441
"SPU_000166",-3.23729970409641,2.22169110838426,0.0950915205335596,7.72305867330117,0.200243499242792,4.67493707557717,"SP-SLC35F3L",38.3333333333333,61.3333333333333,17.3333333333333,63.6666666666667,13258,2347,10911,38.3333333333333,0.00562123850548376,0.0271268285754864
"SPU_000176",-0.124377426628746,5.52687966503264,1.21568121205495,5.54758454812906,-0.397420528908126,6.18143416654178,"SP-REELER/EGF/FOLN",93,386.333333333333,196.333333333333,183,24448,3430,21018,93,0.0183810701938021,0.0533527696793003
"SPU_000195",0.164544532735499,4.27332659185566,-1.33870507137634,4.57061041469326,0.0407173651750584,4.86445662617079,"SP-DYSF",65.3333333333333,268.666666666667,0,133.666666666667,18866,2204,16662,65.3333333333333,0.016124514864162,0.0606473079249849
"SPU_000208",-0.24812943807836,6.54196623220695,0.0440393231385302,8.11677157358329,0.0577223763007823,3.04387497100984,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000225",-0.255476736050742,5.85972275421326,-0.122544524003837,7.45873411679847,0.167044042651199,3.77876580653409,"SP-MPHOSPH10L",10.6666666666667,79.3333333333333,0,25.6666666666667,10977,3294,7683,10.6666666666667,0.0103258275847108,0.0077919449504149
"SPU_000241",-0.367181922389379,4.30143956039548,-1.24700824484854,6.1093168175806,0.124935630214364,8.91870938002431,"SP-TAL1PH",56,134.333333333333,0,0,96970,10193,86777,56,0.00154802923969869,0
"SPU_000255",0.39325673485309,5.47715162644602,-0.138468388005753,7.87578440206869,0.0484789240965055,2.96192264415399,NA,0,0,0,0,0,0,0,0,0,0
